"","company","model","old","fuel","km","price"
"146","기아","K5 2.4 GDI 프레스티지",115,"가솔린",130000,830
"147","기아","더 뉴 K5 2.0 디럭스",80,"가솔린",1e+05,780
"148","기아","K5 하이브리드 프레스티지 ",93,"가솔린+전기",1e+05,990
"149","기아","K5 2.0 디럭스",109,"가솔린",160000,590
"150","기아","더 뉴 K5 터보 노블레스",63,"가솔린",60000,1800
"153","현대","그랜져HG 300 익스클루시브",70,"가솔린",60000,1890
"154","현대","그랜져HG 하이브리드 2.4 HEV 프리미엄",72,"가솔린+전기",120000,1990
"155","현대","그랜져HG 220 디젤  모던",64,"디젤",170000,1050
"156","현대","그랜져HG 240  모던",61,"가솔린",90000,1420
"157","현대","그랜져HG 220 디젤 프리미엄",54,"디젤",60000,1790
"158","현대","그랜져HG 300  노블",109,"가솔린",110000,1070
"159","현대","그랜져IG 2.4 GDI 프리미엄",38,"가솔린",50000,2090
"160","현대","그랜져HG 240 럭셔리",109,"가솔린",150000,899
"161","현대","그랜져HG 240  럭셔리",104,"가솔린",110000,890
"162","현대","그랜져IG 2.4 GDI  프리미엄",36,"가솔린",50000,2250
"163","현대","그랜져IG 2.4 GDI 프리미엄",16,"가솔린",10000,2150
"164","현대","그랜져HG  220 디젤 프리미엄",61,"디젤",190000,990
"165","현대","그랜져HG 300 LPG 모던",71,"LPG",260000,750
"166","현대","그랜져HG 300 LPG  이그제큐티브",96,"LPG",80000,1350
"167","현대","더 럭셔리 그랜져 Q270 LPI 팩1",120,"LPG",190000,690
"168","현대","그랜져HG 220 디젤 모던",51,"디젤",80000,1590
"169","현대","그랜져HG 220 디젤 모던",51,"디젤",110000,1380
"170","현대","그랜져IG 3.0 GDI 익스클루시브",37,"가솔린",70000,2390
"171","현대","그랜져IG 2.4 GDI 프리미엄",35,"가솔린",60000,2390
"172","현대","더 럭셔리 그랜져 Q240 디럭스",122,"가솔린",170000,599
"173","현대","그랜져TG Q270 럭셔리",176,"가솔린",1e+05,360
"174","현대","그랜저 뉴 럭셔리 Q240 기본형",131,"가솔린",30000,510
"175","현대","그랜져TG L330  탑",163,"가솔린",170000,180
